time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2018-04-13T15:01:31.966Z,41.220496,-74.291082,,20.274,,,0,network,,,,,,,,90,
2018-04-13T15:03:20.109Z,41.220507,-74.291014,,20.249,,,0,network,,,,,,,,90,
2018-04-13T15:03:20.110Z,41.220507,-74.291014,,20.249,,,0,network,,,,,,,,90,
2018-04-13T15:04:47.000Z,41.220351,-74.291162,263.0,37.0,,,11,gps,1.2,0.9,1.5,-37.0,,,,90,
2018-04-13T15:05:08.000Z,41.220188,-74.290702,254.0,39.0,,0.0,11,gps,1.2,0.9,1.5,-37.0,,,,90,
2018-04-13T15:05:36.119Z,41.220496,-74.290952,,20.46,,,0,network,,,,,,,,89,
2018-04-13T15:06:36.470Z,41.220449,-74.291094,,23.969,,,0,network,,,,,,,,89,
2018-04-13T15:07:19.000Z,41.220392,-74.290795,216.0,38.0,,0.0,11,gps,,,,,,,,89,
2018-04-13T15:06:54.837Z,41.220477,-74.290774,,21.048,,,0,network,,,,,,,,89,
2018-04-13T15:07:36.000Z,41.220430,-74.290827,204.0,37.0,,0.0,13,gps,1.2,0.9,1.5,-37.0,,,,89,
2018-04-13T19:06:07.000Z,41.220592,-74.290645,180.0,21.0,,0.0,13,gps,2.4,1.0,2.6,-37.0,,,,65,
2018-04-13T19:07:38.000Z,41.220554,-74.290644,186.0,40.0,,0.0,9,gps,1.5,0.9,1.8,-37.0,,,,65,
2018-04-13T19:08:47.000Z,41.220553,-74.290664,188.0,34.0,,0.0,13,gps,,,,,,,,65,
2018-04-13T19:10:09.000Z,41.220559,-74.290673,186.0,31.0,,0.0,12,gps,2.6,1.0,2.8,-37.0,,,,65,
2018-04-13T19:10:13.000Z,41.220569,-74.290680,185.0,16.0,,0.0,9,gps,2.6,1.0,2.8,-37.0,,,,65,
2018-04-13T19:10:16.000Z,41.220568,-74.290680,185.0,18.0,,0.0,7,gps,2.6,1.0,2.8,-37.0,,,,65,
2018-04-13T19:09:43.811Z,41.220468,-74.291196,,19.906,,,0,network,,,,,,,,65,
2018-04-13T19:09:43.811Z,41.220468,-74.291196,,19.906,,,0,network,,,,,,,,65,
2018-04-13T19:10:25.000Z,41.220570,-74.290688,185.0,23.0,,0.0,11,gps,2.6,1.0,2.8,-37.0,,,,65,
2018-04-13T19:10:28.000Z,41.220574,-74.290698,184.0,16.0,,0.0,12,gps,2.6,1.0,2.8,-37.0,,,,65,
2018-04-13T19:10:30.000Z,41.220580,-74.290708,183.0,15.0,,0.0,11,gps,1.9,1.0,2.1,-37.0,,,,65,
2018-04-13T19:10:07.017Z,41.220486,-74.291150,,22.561,,,0,network,,,,,,,,65,
2018-04-13T19:20:28.000Z,41.220501,-74.290820,173.0,32.0,,0.0,11,gps,1.4,0.8,1.6,-37.0,,,,65,
2018-04-13T19:20:11.969Z,41.220467,-74.290775,,21.443,,,0,network,,,,,,,,65,
2018-04-13T19:20:26.408Z,41.220484,-74.290783,,22.295,,,0,network,,,,,,,,65,
